state,fiscal_year,total_expenditures_millions,population,per_capita,source,notes
Illinois,2023,115036,12549689,9166,"Census Bureau (timeseries/govsstatefin, SF0132)",
Illinois,2024,139766,12710158,10996,KFF/NASBO (auto-scraped),
Indiana,2015,37406,6619680,5651,Tax Policy Center / Census of Governments,
Indiana,2017,40911,6666818,6137,Tax Policy Center / Census of Governments,
Indiana,2019,43035,6732219,6392,Tax Policy Center / Census of Governments,
Indiana,2021,50906,6805985,7480,Tax Policy Center / Census of Governments,
Indiana,2023,51548,6862199,7512,"Census Bureau (timeseries/govsstatefin, SF0132)",
Indiana,2024,50776,6924275,7333,KFF/NASBO (auto-scraped),
Iowa,2015,22478,3123899,7195,Tax Policy Center / Census of Governments,
Iowa,2017,22720,3145711,7223,Tax Policy Center / Census of Governments,
Iowa,2019,24457,3155070,7752,Tax Policy Center / Census of Governments,
Iowa,2021,28676,3193079,8981,Tax Policy Center / Census of Governments,
Iowa,2023,27376,3207004,8536,"Census Bureau (timeseries/govsstatefin, SF0132)",
Iowa,2024,31610,3241488,9752,KFF/NASBO (auto-scraped),
Kansas,2015,17749,2911641,6096,Tax Policy Center / Census of Governments,
Kansas,2017,19543,2913123,6709,Tax Policy Center / Census of Governments,
Kansas,2019,20580,2913314,7064,Tax Policy Center / Census of Governments,
Kansas,2021,24460,2934582,8335,Tax Policy Center / Census of Governments,
Kansas,2023,26771,2940547,9104,"Census Bureau (timeseries/govsstatefin, SF0132)",
Kansas,2024,24286,2970606,8175,KFF/NASBO (auto-scraped),
Kentucky,2015,33975,4425092,7678,Tax Policy Center / Census of Governments,
Kentucky,2017,34870,4454189,7829,Tax Policy Center / Census of Governments,
Kentucky,2019,35568,4467673,7961,Tax Policy Center / Census of Governments,
Kentucky,2021,42541,4509394,9434,Tax Policy Center / Census of Governments,
Kentucky,2023,44697,4526154,9875,"Census Bureau (timeseries/govsstatefin, SF0132)",
Kentucky,2024,50899,4588372,11093,KFF/NASBO (auto-scraped),
Louisiana,2015,30615,4670724,6555,Tax Policy Center / Census of Governments,
Louisiana,2017,33898,4684333,7236,Tax Policy Center / Census of Governments,
Louisiana,2019,36201,4648794,7787,Tax Policy Center / Census of Governments,
Louisiana,2021,42692,4624047,9233,Tax Policy Center / Census of Governments,
Louisiana,2023,43803,4573749,9577,"Census Bureau (timeseries/govsstatefin, SF0132)",
Louisiana,2024,43274,4597740,9412,KFF/NASBO (auto-scraped),
Maine,2015,8605,1329328,6473,Tax Policy Center / Census of Governments,
Maine,2017,9174,1335907,6867,Tax Policy Center / Census of Governments,
Maine,2019,9769,1344212,7267,Tax Policy Center / Census of Governments,
Maine,2021,11860,1372247,8643,Tax Policy Center / Census of Governments,
Maine,2023,13387,1395722,9591,"Census Bureau (timeseries/govsstatefin, SF0132)",
Maine,2024,13110,1405012,9331,KFF/NASBO (auto-scraped),
Maryland,2015,43311,6006401,7211,Tax Policy Center / Census of Governments,
Maryland,2017,45719,6052177,7554,Tax Policy Center / Census of Governments,
Maryland,2019,48219,6045680,7976,Tax Policy Center / Census of Governments,
Maryland,2021,57678,6165129,9356,Tax Policy Center / Census of Governments,
Maryland,2023,59557,6180253,9637,"Census Bureau (timeseries/govsstatefin, SF0132)",
Maryland,2024,67707,6263220,10810,KFF/NASBO (auto-scraped),
Massachusetts,2015,67133,6794422,9881,Tax Policy Center / Census of Governments,
Massachusetts,2017,65540,6859819,9554,Tax Policy Center / Census of Governments,
Massachusetts,2019,69323,6892503,10058,Tax Policy Center / Census of Governments,
Massachusetts,2021,84962,6984723,12164,Tax Policy Center / Census of Governments,
Massachusetts,2023,81963,7001399,11707,"Census Bureau (timeseries/govsstatefin, SF0132)",
Massachusetts,2024,83659,7136171,11723,KFF/NASBO (auto-scraped),
Michigan,2015,67662,9922576,6819,Tax Policy Center / Census of Governments,
Michigan,2017,72109,9962311,7238,Tax Policy Center / Census of Governments,
Michigan,2019,80522,9986857,8063,Tax Policy Center / Census of Governments,
Michigan,2021,89051,10050811,8860,Tax Policy Center / Census of Governments,
Michigan,2023,90815,10037261,9048,"Census Bureau (timeseries/govsstatefin, SF0132)",
Michigan,2024,85848,10140459,8466,KFF/NASBO (auto-scraped),
Minnesota,2015,43076,5489594,7847,Tax Policy Center / Census of Governments,
Minnesota,2017,47318,5576606,8485,Tax Policy Center / Census of Governments,
Minnesota,2019,50625,5639632,8977,Tax Policy Center / Census of Governments,
Minnesota,2021,59821,5707390,10481,Tax Policy Center / Census of Governments,
Minnesota,2023,56402,5737915,9830,"Census Bureau (timeseries/govsstatefin, SF0132)",
Minnesota,2024,63470,5793151,10956,KFF/NASBO (auto-scraped),
Mississippi,2015,21140,2992333,7065,Tax Policy Center / Census of Governments,
Mississippi,2017,22361,2984100,7493,Tax Policy Center / Census of Governments,
Mississippi,2019,22792,2976149,7658,Tax Policy Center / Census of Governments,
Mississippi,2021,25256,2949965,8561,Tax Policy Center / Census of Governments,
Mississippi,2023,24936,2939690,8483,"Census Bureau (timeseries/govsstatefin, SF0132)",
Mississippi,2024,25618,2943045,8705,KFF/NASBO (auto-scraped),
Missouri,2015,32251,6083672,5301,Tax Policy Center / Census of Governments,
Missouri,2017,34184,6113532,5592,Tax Policy Center / Census of Governments,
Missouri,2019,36002,6137428,5866,Tax Policy Center / Census of Governments,
Missouri,2021,40620,6168187,6585,Tax Policy Center / Census of Governments,
Missouri,2023,44359,6196156,7159,"Census Bureau (timeseries/govsstatefin, SF0132)",
Missouri,2024,41708,6245466,6678,KFF/NASBO (auto-scraped),
Montana,2015,6734,1032949,6519,Tax Policy Center / Census of Governments,
Montana,2017,7821,1050493,7445,Tax Policy Center / Census of Governments,
Montana,2019,8061,1068778,7542,Tax Policy Center / Census of Governments,
Montana,2021,9241,1104271,8368,Tax Policy Center / Census of Governments,
Montana,2023,8770,1132812,7742,"Census Bureau (timeseries/govsstatefin, SF0132)",
Montana,2024,10024,1137233,8814,KFF/NASBO (auto-scraped),
Nebraska,2015,10376,1896190,5472,Tax Policy Center / Census of Governments,
Nebraska,2017,10946,1920076,5701,Tax Policy Center / Census of Governments,
Nebraska,2019,11259,1934408,5820,Tax Policy Center / Census of Governments,
Nebraska,2021,13976,1963692,7117,Tax Policy Center / Census of Governments,
Nebraska,2023,15058,1978379,7611,"Census Bureau (timeseries/govsstatefin, SF0132)",
Nebraska,2024,18508,2005466,9229,KFF/NASBO (auto-scraped),
Nevada,2015,14080,2890845,4871,Tax Policy Center / Census of Governments,
Nevada,2017,16278,2998039,5430,Tax Policy Center / Census of Governments,
Nevada,2019,17798,3080156,5778,Tax Policy Center / Census of Governments,
Nevada,2021,22147,3143991,7044,Tax Policy Center / Census of Governments,
Nevada,2023,23756,3194176,7437,"Census Bureau (timeseries/govsstatefin, SF0132)",
Nevada,2024,19836,3267467,6071,KFF/NASBO (auto-scraped),
