state,session_year,fy,scheduled_adjourn,actual_adjourn,overrun_days,precision,signed_date,days_late,scheduled_edition,actual_edition,source
Arizona,2026,2027,2026-04-25,2026-06-13,49,exact,2026-06-13,-18,2026-01-05,2026-07-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Arkansas,2015,2016,2015-03-12,2015-04-22,41,exact,2015-04-15,-77,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Arkansas,2016,2017,2016-05-12,2016-05-09,-3,exact,2016-04-15,-77,2015-11-02,2018-01-17,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Arkansas,2017,2018,2017-05-19,2017-05-01,-18,exact,2017-04-15,-77,2017-04-24,2017-12-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Arkansas,2018,2019,2018-03-14,2018-03-12,-2,exact,2018-03-15,-108,2018-01-10,2018-09-19,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Arkansas,2019,2020,2019-03-14,2019-04-24,41,exact,2019-04-17,-75,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Arkansas,2020,2021,2020-05-07,2020-04-24,-13,exact,2020-04-20,-72,2020-03-17,2020-12-31,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Arkansas,2021,2022,2021-03-12,2021-10-15,217,exact,2021-04-15,-77,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Arkansas,2022,2023,2022-03-15,2022-03-15,0,exact,2022-03-15,-108,2021-10-26,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Arkansas,2023,2024,2023-03-10,2023-05-01,52,exact,2023-04-15,-77,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Arkansas,2024,2025,2024-05-09,2024-05-09,0,exact,2024-05-03,-59,2024-01-22,2024-12-11,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Arkansas,2025,2026,2025-05-09,2025-05-05,-4,exact,2025-04-15,-77,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Arkansas,2026,2027,2026-05-07,2026-04-29,-8,exact,2026-04-29,-63,2026-01-05,2026-07-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
California,2015,2016,2015-09-11,2015-09-11,0,exact,2015-06-24,-7,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
California,2016,2017,2016-08-31,2016-08-31,0,exact,2016-06-27,-4,2015-11-02,2018-01-17,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
California,2017,2018,2017-09-15,2017-09-15,0,exact,2017-06-27,-4,2017-04-24,2017-12-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
California,2018,2019,2018-08-31,2018-08-31,0,exact,2018-06-27,-4,2018-01-10,2018-09-19,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
California,2019,2020,2019-09-13,2019-09-13,0,exact,2019-06-27,-4,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
California,2020,2021,2020-11-30,2020-08-31,-91,exact,2020-06-29,-2,2020-03-17,2020-12-31,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
California,2021,2022,2021-09-10,2021-09-10,0,exact,2021-07-12,11,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
California,2022,2023,2022-08-31,2022-08-31,0,exact,2022-06-30,-1,2021-10-26,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
California,2023,2024,2023-09-08,2023-09-14,6,exact,2023-06-27,-4,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
California,2024,2025,2024-08-30,2024-08-31,1,exact,2024-06-29,-2,2024-01-22,2024-12-11,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
California,2025,2026,2025-09-12,2025-09-13,1,exact,2025-06-27,-4,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Colorado,2015,2016,2015-05-06,2015-05-06,0,exact,2015-04-24,-68,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Colorado,2016,2017,2016-05-11,2016-05-11,0,exact,2016-05-03,-59,2015-11-02,2018-01-17,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Colorado,2017,2018,2017-05-10,2017-05-10,0,exact,2017-05-26,-36,2017-04-24,2017-12-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Colorado,2018,2019,2018-05-10,2018-05-09,-1,exact,2018-04-30,-62,2018-01-10,2018-09-19,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Colorado,2019,2020,2019-05-03,2019-05-03,0,exact,2019-04-18,-74,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Colorado,2020,2021,2020-05-07,2020-06-15,39,exact,2020-06-22,-9,2020-03-17,2020-12-31,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Colorado,2021,2022,2021-05-13,2021-06-08,26,exact,2021-05-17,-45,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Colorado,2022,2023,2022-05-12,2022-05-11,-1,exact,2022-04-25,-67,2021-10-26,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
