state,session_year,fy,scheduled_adjourn,actual_adjourn,overrun_days,precision,signed_date,days_late,scheduled_edition,actual_edition,source
Kansas,2022,2023,2022-04-08,2022-05-23,45,exact,2022-04-20,-72,2021-10-26,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Kansas,2023,2024,2023-05-12,2023-04-28,-14,exact,2023-04-21,-71,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Kansas,2024,2025,2024-05-17,2024-04-30,-17,exact,2024-04-24,-68,2024-01-22,2024-12-11,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Kansas,2025,2026,2025-04-12,2025-04-11,-1,exact,2025-04-09,-83,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Kansas,2026,2027,2026-04-10,2026-04-10,0,exact,2026-04-08,-84,2026-01-05,2026-07-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Kentucky,2016,2017,2016-04-12,2016-04-15,3,exact,2016-04-27,-65,2015-11-02,2018-01-17,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Kentucky,2018,2019,2018-04-15,2018-04-14,-1,exact,2018-04-13,-79,2018-01-10,2018-09-19,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Kentucky,2020,2021,2020-04-15,2020-04-15,0,exact,2020-04-15,-77,2020-03-17,2020-12-31,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Kentucky,2021,2022,2021-03-30,2021-03-30,0,exact,2021-03-29,-94,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Kentucky,2022,2023,2022-04-15,2022-04-14,-1,exact,2022-04-13,-79,2021-10-26,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Kentucky,2024,2025,2024-04-15,2024-04-15,0,exact,2024-04-09,-83,2024-01-22,2024-12-11,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Kentucky,2026,2027,2026-04-15,2026-04-15,0,exact,2026-04-15,-77,2026-01-05,2026-07-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Louisiana,2015,2016,2015-06-11,2015-06-11,0,exact,2015-06-19,-12,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Louisiana,2016,2017,2016-06-06,2016-06-06,0,exact,2016-06-17,-14,2015-11-02,2018-01-17,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Louisiana,2017,2018,2017-06-08,2017-06-08,0,exact,2017-06-26,-5,2017-04-24,2017-12-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Louisiana,2018,2019,2018-06-05,2018-05-18,-18,exact,2018-06-25,-6,2018-01-10,2018-09-19,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Louisiana,2019,2020,2019-06-06,2019-06-06,0,exact,2019-06-18,-13,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Louisiana,2020,2021,2020-06-01,2020-06-01,0,exact,2020-07-07,6,2020-03-17,2020-12-31,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Louisiana,2021,2022,2021-06-10,2021-06-10,0,exact,2021-06-10,-21,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Louisiana,2022,2023,2022-06-06,2022-06-06,0,exact,2022-06-01,-30,2021-10-26,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Louisiana,2023,2024,2023-06-08,2023-06-08,0,exact,2023-06-29,-2,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Louisiana,2024,2025,2024-06-03,2024-06-03,0,exact,2024-06-19,-12,2024-01-22,2024-12-11,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Louisiana,2025,2026,2025-06-12,2025-06-12,0,exact,2025-06-19,-12,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Louisiana,2026,2027,2026-06-01,2026-06-01,0,exact,2026-06-15,-16,2026-01-05,2026-07-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Maine,2015,2016,2015-06-17,2015-07-16,29,exact,2015-06-30,-1,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Maine,2017,2018,2017-06-21,2017-07-03,12,exact,2017-07-04,3,2017-04-24,2017-12-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Maine,2019,2020,2019-06-19,2019-06-20,1,exact,2019-06-17,-14,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Maine,2021,2022,2021-06-16,2021-03-30,-78,exact,2021-07-01,0,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Maine,2022,2023,2022-04-20,2022-05-09,19,exact,2022-04-20,-72,2021-10-26,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Maine,2023,2024,2023-06-21,2023-03-30,-83,exact,2023-03-31,-92,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Maine,2024,2025,2024-04-17,2024-05-10,23,exact,2024-04-22,-70,2024-01-22,2024-12-11,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Maine,2025,2026,2025-06-18,2025-03-21,-89,exact,2025-06-23,-8,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Maine,2026,2027,2026-04-15,2026-04-29,14,exact,2026-04-10,-82,2026-01-05,2026-07-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Maryland,2015,2016,2015-04-13,2015-04-13,0,exact,2015-04-13,-79,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Maryland,2016,2017,2016-04-11,2016-04-11,0,exact,2016-03-29,-94,2015-11-02,2018-01-17,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Maryland,2018,2019,2018-04-10,2018-04-09,-1,exact,2018-03-27,-96,2018-01-10,2018-09-19,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Maryland,2019,2020,2019-04-08,2019-04-08,0,exact,2019-03-26,-97,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Maryland,2020,2021,2020-03-18,2020-03-18,0,exact,2020-03-18,-105,2020-03-17,2020-12-31,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Maryland,2021,2022,2021-04-12,2021-04-12,0,exact,2021-05-18,-44,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Maryland,2022,2023,2022-04-11,2022-04-11,0,exact,2022-05-16,-46,2021-10-26,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Maryland,2023,2024,2023-04-10,2023-04-10,0,exact,2023-04-24,-68,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Maryland,2024,2025,2024-04-08,2024-04-08,0,exact,2024-05-16,-46,2024-01-22,2024-12-11,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Maryland,2025,2026,2025-04-07,2025-04-07,0,exact,2025-05-20,-42,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Maryland,2026,2027,2026-04-13,2026-04-13,0,exact,2026-04-08,-84,2026-01-05,2026-07-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Minnesota,2015,2016,2015-05-18,2015-05-18,0,exact,2015-06-13,-18,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Minnesota,2016,2017,2016-05-23,2016-05-23,0,exact,2016-06-01,-30,2015-11-02,2018-01-17,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Minnesota,2017,2018,2017-05-22,2017-05-22,0,exact,2017-05-30,-32,2017-04-24,2017-12-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Minnesota,2019,2020,2019-05-20,2019-05-20,0,exact,2019-05-31,-31,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Minnesota,2021,2022,2021-05-17,2021-05-17,0,exact,2021-06-30,-1,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Minnesota,2023,2024,2023-05-22,2023-05-22,0,exact,2023-05-24,-38,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Minnesota,2025,2026,2025-05-19,2025-05-19,0,exact,2025-06-01,-30,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Minnesota,2026,2027,2026-05-18,2026-05-18,0,exact,2026-05-27,-35,2026-01-05,2026-07-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Mississippi,2015,2016,2015-04-05,2015-04-02,-3,exact,2015-04-15,-77,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Mississippi,2016,2017,2016-05-08,2016-04-21,-17,exact,2016-04-15,-77,2015-11-02,2018-01-17,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Mississippi,2018,2019,2018-04-02,2018-03-28,-5,exact,2018-03-15,-108,2018-01-10,2018-09-19,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Mississippi,2019,2020,2019-04-07,2019-03-29,-9,exact,2019-03-15,-108,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Mississippi,2020,2021,2020-05-10,2020-10-10,153,exact,2020-06-15,-16,2020-03-17,2020-12-31,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Mississippi,2021,2022,2021-03-15,2021-04-01,17,exact,2021-03-15,-108,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Mississippi,2022,2023,2022-04-03,2022-04-10,7,exact,2022-04-15,-77,2021-10-26,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Mississippi,2023,2024,2023-04-03,2023-04-02,-1,exact,2023-04-15,-77,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Mississippi,2024,2025,2024-05-05,2024-05-14,9,exact,2024-05-15,-47,2024-01-22,2024-12-11,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Mississippi,2025,2026,2025-04-06,2025-04-03,-3,exact,2025-06-19,-12,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Mississippi,2026,2027,2026-04-05,2026-04-05,0,exact,2026-04-15,-77,2026-01-05,2026-07-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Missouri,2015,2016,2015-05-30,2015-05-27,-3,exact,2015-05-08,-54,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Missouri,2016,2017,2016-05-30,2016-05-13,-17,exact,2016-05-06,-56,2015-11-02,2018-01-17,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Missouri,2017,2018,2017-05-12,2017-05-12,0,exact,2017-06-30,-1,2017-04-24,2017-12-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Missouri,2019,2020,2019-05-17,2019-05-17,0,exact,2019-06-10,-21,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Missouri,2020,2021,2020-05-15,2020-05-17,2,exact,2020-06-30,-1,2020-03-17,2020-12-31,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Missouri,2021,2022,2021-05-30,2021-05-30,0,exact,2021-06-30,-1,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Missouri,2022,2023,2022-05-30,2022-05-30,0,exact,2022-06-30,-1,2021-10-26,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Missouri,2023,2024,2023-05-30,2023-05-30,0,exact,2023-06-30,-1,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Missouri,2024,2025,2024-05-10,2024-05-30,20,exact,2024-06-28,-3,2024-01-22,2024-12-11,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Missouri,2025,2026,2025-05-30,2025-05-15,-15,exact,2025-06-30,-1,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Missouri,2026,2027,2026-05-15,2026-05-15,0,exact,2026-07-01,0,2026-01-05,2026-07-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Montana,2015,2016,2015-04-25,2015-04-28,3,approx,2015-05-05,-57,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Montana,2017,2018,2017-04-25,2017-04-28,3,approx,2017-05-09,-53,2017-04-24,2017-12-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Montana,2019,2020,2019-05-01,2019-04-25,-6,exact,2019-05-13,-49,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Montana,2021,2022,2021-04-28,2021-04-29,1,exact,2021-05-20,-42,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Montana,2023,2024,2023-05-11,2023-05-02,-9,exact,2023-06-14,-17,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Montana,2025,2026,2025-04-19,2025-04-30,11,exact,2025-06-20,-11,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Nebraska,2015,2016,2015-06-05,2015-05-29,-7,approx,2015-05-15,-47,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Nebraska,2017,2018,2017-05-25,2017-05-23,-2,approx,2017-05-15,-47,2017-04-24,2017-12-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Nebraska,2018,2019,2018-04-18,2018-04-18,0,exact,2018-04-04,-88,2018-01-10,2018-09-19,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Nebraska,2019,2020,2019-06-06,2019-05-31,-6,exact,2019-05-27,-35,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Nebraska,2020,2021,2020-04-23,2020-08-13,112,exact,2020-08-07,37,2020-03-17,2020-12-31,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Nebraska,2021,2022,2021-06-10,2021-05-27,-14,exact,2021-04-26,-66,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Nebraska,2022,2023,2022-04-13,2022-04-20,7,exact,2022-04-04,-88,2021-10-26,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Nebraska,2023,2024,2023-05-23,2023-06-01,9,exact,2023-05-24,-38,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Nebraska,2024,2025,2024-04-18,2024-04-18,0,exact,2024-04-02,-90,2024-01-22,2024-12-11,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Nebraska,2025,2026,2025-05-30,2025-06-02,3,exact,2025-06-05,-26,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Nebraska,2026,2027,2026-04-17,2026-04-17,0,exact,2026-04-07,-85,2026-01-05,2026-07-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Nevada,2015,2016,2015-06-01,2015-06-01,0,exact,2015-06-15,-16,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Nevada,2017,2018,2017-06-05,2017-06-05,0,exact,2017-06-05,-26,2017-04-24,2017-12-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Nevada,2019,2020,2019-06-03,2019-06-03,0,exact,2019-06-15,-16,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Nevada,2021,2022,2021-06-01,2021-06-01,0,exact,2021-06-04,-27,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Nevada,2023,2024,2023-06-05,2023-06-05,0,exact,2023-06-15,-16,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Nevada,2025,2026,2025-07-28,2025-06-03,-55,exact,2025-06-13,-18,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
New Hampshire,2015,2016,2015-07-01,2015-07-01,0,exact,2015-09-16,77,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
New Hampshire,2019,2020,2019-06-25,2019-06-30,5,approx,2019-10-01,92,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
New Hampshire,2021,2022,2021-06-28,2021-07-01,3,exact,2021-06-26,-5,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
New Mexico,2015,2016,2015-03-21,2015-03-21,0,exact,2015-04-09,-83,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
New Mexico,2016,2017,2016-02-18,2016-02-18,0,exact,2016-02-29,-123,2015-11-02,2018-01-17,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
New Mexico,2018,2019,2018-02-15,2018-02-15,0,exact,2018-03-07,-116,2018-01-10,2018-09-19,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
New Mexico,2019,2020,2019-03-16,2019-03-16,0,exact,2019-04-04,-88,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
New Mexico,2021,2022,2021-03-20,2021-03-20,0,exact,2021-04-09,-83,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
New Mexico,2022,2023,2022-02-17,2022-02-17,0,exact,2022-03-09,-114,2021-10-26,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
New Mexico,2023,2024,2023-03-18,2023-03-18,0,exact,2023-04-07,-85,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
New Mexico,2024,2025,2024-02-15,2024-02-15,0,exact,2024-03-06,-117,2024-01-22,2024-12-11,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
New Mexico,2025,2026,2025-03-22,2025-03-22,0,exact,2025-04-11,-81,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
New Mexico,2026,2027,2026-02-19,2026-02-19,0,exact,2026-03-11,-112,2026-01-05,2026-07-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
North Carolina,2015,2016,2015-07-05,2015-09-30,87,approx,2015-09-18,79,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
North Carolina,2016,2017,2016-07-15,2016-07-02,-13,approx,2016-07-14,13,2015-11-02,2018-01-17,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
North Carolina,2017,2018,2017-07-15,2017-07-15,0,approx,2017-06-28,-3,2017-04-24,2017-12-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
North Carolina,2018,2019,2018-07-15,2018-06-29,-16,approx,2018-06-12,-19,2018-01-10,2018-09-19,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
North Carolina,2021,2022,2021-07-30,2021-12-30,153,exact,2021-11-18,140,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
North Carolina,2022,2023,2022-07-08,2022-07-08,0,exact,2022-07-11,10,2021-10-26,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
North Dakota,2015,2016,2015-04-25,2015-04-29,4,approx,2015-04-15,-77,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
North Dakota,2017,2018,2017-04-25,2017-04-27,2,approx,2017-05-03,-59,2017-04-24,2017-12-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
North Dakota,2019,2020,2019-04-26,2019-04-26,0,exact,2019-05-02,-60,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
North Dakota,2021,2022,2021-04-28,2021-04-30,2,exact,2021-05-10,-52,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
North Dakota,2023,2024,2023-04-28,2023-04-30,2,exact,2023-05-09,-53,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
North Dakota,2025,2026,2025-04-25,2025-05-03,8,exact,2025-05-03,-59,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Oklahoma,2015,2016,2015-05-29,2015-05-22,-7,exact,2015-05-22,-40,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Oklahoma,2016,2017,2016-05-27,2016-05-27,0,exact,2016-06-10,-21,2015-11-02,2016-07-26,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Oklahoma,2017,2018,2017-05-26,2017-05-26,0,exact,2017-05-31,-31,2017-04-24,2017-12-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Oklahoma,2018,2019,2018-05-25,2018-05-09,-16,exact,2018-04-30,-62,2018-01-10,2018-09-19,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Oklahoma,2019,2020,2019-05-31,2019-05-23,-8,exact,2019-05-24,-38,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Oklahoma,2020,2021,2020-05-29,2020-05-29,0,exact,2020-05-13,-49,2020-03-17,2020-12-31,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Oklahoma,2021,2022,2021-05-28,2021-05-27,-1,exact,2021-05-24,-38,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Oklahoma,2022,2023,2022-05-27,2022-05-27,0,exact,2022-05-27,-35,2021-10-26,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Oklahoma,2023,2024,2023-05-26,2023-05-26,0,exact,2023-06-02,-29,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Oklahoma,2024,2025,2024-05-31,2024-05-30,-1,exact,2024-06-12,-19,2024-01-22,2024-12-11,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Oklahoma,2025,2026,2025-05-30,2025-05-30,0,exact,2025-05-23,-39,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Oklahoma,2026,2027,2026-05-29,2026-05-15,-14,exact,2026-04-15,-77,2026-01-05,2026-07-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Oregon,2015,2016,2015-07-11,2015-07-06,-5,exact,2015-08-12,42,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Oregon,2016,2017,2016-03-06,2016-03-03,-3,exact,2016-03-29,-94,2015-11-02,2016-07-26,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Oregon,2017,2018,2017-07-10,2017-07-07,-3,exact,2017-08-15,45,2017-04-24,2017-12-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Oregon,2018,2019,2018-03-12,2018-03-05,-7,exact,2018-04-10,-82,2018-01-10,2018-09-19,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Oregon,2019,2020,2019-06-30,2019-06-30,0,exact,2019-08-09,39,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Oregon,2021,2022,2021-06-28,2021-06-26,-2,exact,2021-08-06,36,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Oregon,2022,2023,2022-03-07,2022-03-04,-3,exact,2022-04-04,-88,2021-10-26,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Oregon,2023,2024,2023-06-26,2023-06-25,-1,exact,2023-08-04,34,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Oregon,2024,2025,2024-03-10,2024-03-07,-3,exact,2024-04-17,-75,2024-01-22,2024-12-11,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Oregon,2025,2026,2025-06-30,2025-06-27,-3,exact,2025-08-07,37,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Oregon,2026,2027,2026-03-09,2026-03-06,-3,exact,2026-03-06,-117,2026-01-05,2026-07-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Pennsylvania,2021,2022,2021-12-15,2021-12-15,0,exact,2021-06-30,-1,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Pennsylvania,2024,2025,2024-11-30,2024-11-13,-17,exact,2024-07-11,10,2024-01-22,2024-12-11,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Rhode Island,2015,2016,2015-06-25,2015-06-25,0,approx,2015-06-30,-1,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Rhode Island,2016,2017,2016-06-25,2016-06-18,-7,approx,2016-06-24,-7,2015-11-02,2016-07-26,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Rhode Island,2017,2018,2017-06-15,2017-06-15,0,approx,2017-08-03,33,2017-04-24,2017-12-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Rhode Island,2018,2019,2018-07-15,2018-07-15,0,approx,2018-06-22,-9,2018-01-10,2018-09-19,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Rhode Island,2019,2020,2019-07-15,2019-06-30,-15,approx,2019-07-05,4,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Rhode Island,2022,2023,2022-06-30,2022-06-30,0,exact,2022-06-27,-4,2022-05-12,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Rhode Island,2024,2025,2024-06-30,2024-06-30,0,exact,2024-06-17,-14,2024-01-22,2024-12-11,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Rhode Island,2026,2027,2026-06-30,2026-06-30,0,exact,2026-06-12,-19,2026-01-05,2026-07-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
South Carolina,2015,2016,2015-06-04,2015-07-09,35,exact,2015-06-15,-16,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
South Carolina,2016,2017,2016-06-02,2016-06-02,0,exact,2016-06-08,-23,2015-11-02,2016-07-26,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
South Carolina,2017,2018,2017-05-11,2017-05-11,0,exact,2017-06-12,-19,2017-04-24,2017-12-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
South Carolina,2018,2019,2018-05-10,2018-05-09,-1,exact,2018-07-05,4,2018-01-10,2018-09-19,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
South Carolina,2019,2020,2019-05-09,2019-05-09,0,exact,2019-06-25,-6,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
South Carolina,2022,2023,2022-06-02,2022-06-28,26,exact,2022-06-15,-16,2022-05-12,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
South Carolina,2024,2025,2024-05-09,2024-05-09,0,exact,2024-07-03,2,2024-01-22,2024-12-11,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
South Carolina,2025,2026,2025-06-05,2025-05-08,-28,exact,2025-06-04,-27,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
South Dakota,2015,2016,2015-03-25,2015-03-30,5,approx,2015-03-19,-104,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
